"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20250626","우이신설선","4.19민주묘지","3625","3342","20250629"
"20250626","경원선","가능","7176","7107","20250629"
"20250626","3호선","가락시장","10423","10382","20250629"
"20250626","8호선","가락시장","9508","10469","20250629"
"20250626","경부선","가산디지털단지","21768","24763","20250629"
"20250626","7호선","가산디지털단지","52224","52616","20250629"
"20250626","9호선","가양","25425","24925","20250629"
"20250626","우이신설선","가오리","4949","4967","20250629"
"20250626","경의선","가좌","6501","6265","20250629"
"20250626","분당선","가천대","9171","9275","20250629"
"20250626","경춘선","가평","2385","2426","20250629"
"20250626","경인선","간석","6386","6019","20250629"
"20250626","경춘선","갈매","3071","2758","20250629"
"20250626","2호선","강남","93647","92098","20250629"
"20250626","7호선","강남구청","18650","20942","20250629"
"20250626","분당선","강남구청","10874","12870","20250629"
"20250626","5호선","강동","21195","20490","20250629"
"20250626","8호선","강동구청","12284","12555","20250629"
"20250626","경의선","강매","3658","3067","20250629"
"20250626","2호선","강변(동서울터미널)","28924","26626","20250629"
"20250626","5호선","강일","6774","6211","20250629"
"20250626","경춘선","강촌","512","499","20250629"
"20250626","5호선","개롱","7694","7765","20250629"
"20250626","경인선","개봉","24374","24197","20250629"
"20250626","분당선","개포동","5012","5058","20250629"
"20250626","9호선","개화","3058","2002","20250629"
"20250626","5호선","개화산","6948","6559","20250629"
"20250626","5호선","거여","11723","11368","20250629"
"20250626","2호선","건대입구","38429","39934","20250629"
"20250626","7호선","건대입구","13960","14571","20250629"
"20250626","공항철도 1호선","검암","6972","7162","20250629"
"20250626","경강선","경기광주","8716","8139","20250629"
"20250626","과천선","경마공원","1544","1478","20250629"
"20250626","3호선","경복궁(정부서울청사)","32881","33686","20250629"
"20250626","3호선","경찰병원","8555","8578","20250629"
"20250626","경의선","계양","1","0","20250629"
"20250626","공항철도 1호선","계양","14739","14351","20250629"
"20250626","5호선","고덕","12035","11757","20250629"
"20250626","6호선","고려대(종암)","9643","9159","20250629"
"20250626","수인선","고색","6336","5936","20250629"
"20250626","3호선","고속터미널","48986","46907","20250629"
"20250626","9호선","고속터미널","16764","21286","20250629"
"20250626","7호선","고속터미널","18965","16411","20250629"
"20250626","안산선","고잔","9897","9497","20250629"
"20250626","경의선","곡산","666","745","20250629"
"20250626","경강선","곤지암","2395","2326","20250629"
"20250626","5호선","공덕","17460","17951","20250629"
"20250626","공항철도 1호선","공덕","3498","4514","20250629"
"20250626","6호선","공덕","21878","21535","20250629"
"20250626","경의선","공덕","4699","3872","20250629"
"20250626","7호선","공릉(서울과학기술대)","13694","13225","20250629"
"20250626","9호선","공항시장","3188","3343","20250629"
"20250626","공항철도 1호선","공항화물청사","2081","2281","20250629"
"20250626","과천선","과천","6445","5868","20250629"
"20250626","경부선","관악","7822","7594","20250629"
"20250626","신림선","관악산(서울대)","3509","3188","20250629"
"20250626","5호선","광나루(장신대)","12629","12040","20250629"
"20250626","경부선","광명","4177","3613","20250629"
"20250626","7호선","광명사거리","23766","23489","20250629"
"20250626","경원선","광운대","8750","8246","20250629"
"20250626","5호선","광화문(세종문화회관)","39538","42231","20250629"
"20250626","6호선","광흥창(서강)","11199","10749","20250629"
"20250626","2호선","교대(법원.검찰청)","36813","44050","20250629"
"20250626","3호선","교대(법원.검찰청)","20200","11497","20250629"
"20250626","경부선","구로","19169","19634","20250629"
"20250626","2호선","구로디지털단지","65313","64845","20250629"
"20250626","분당선","구룡","4079","3992","20250629"
"20250626","중앙선","구리","8562","8963","20250629"
"20250626","9호선","구반포","2398","2176","20250629"
"20250626","6호선","구산","9303","7037","20250629"
"20250626","분당선","구성","7951","8038","20250629"
"20250626","2호선","구의(광진구청)","30258","29415","20250629"
"20250626","경인선","구일","13502","14818","20250629"
"20250626","3호선","구파발","24836","23573","20250629"
"20250626","중앙선","국수","857","833","20250629"
"20250626","9호선","국회의사당","19283","20459","20250629"
"20250626","5호선","군자(능동)","12882","14245","20250629"
"20250626","7호선","군자(능동)","16818","13216","20250629"
"20250626","경부선","군포","7985","7919","20250629"
"20250626","경춘선","굴봉산","132","103","20250629"
"20250626","5호선","굽은다리(강동구민회관앞)","11219","10706","20250629"
"20250626","경춘선","금곡","1942","1914","20250629"
"20250626","경의선","금릉","5530","5417","20250629"
"20250626","경부선","금정","31284","31770","20250629"
"20250626","경부선","금천구청","12068","12279","20250629"
"20250626","경의선","금촌","7449","7225","20250629"
"20250626","3호선","금호","9062","8443","20250629"
"20250626","분당선","기흥","11403","10329","20250629"
"20250626","5호선","길동","9868","9893","20250629"
"20250626","4호선","길음","23680","23337","20250629"
"20250626","경춘선","김유정","467","552","20250629"
"20250626","9호선","김포공항","7039","12038","20250629"
"20250626","서해선","김포공항","3595","4923","20250629"
"20250626","5호선","김포공항","14150","8641","20250629"
"20250626","공항철도 1호선","김포공항","10996","6126","20250629"
"20250626","5호선","까치산","30810","29507","20250629"
"20250626","2호선","낙성대(강감찬)","31052","30144","20250629"
"20250626","7호선","남구로","17043","17860","20250629"
"20250626","수인선","남동인더스파크","2583","2994","20250629"
"20250626","3호선","남부터미널(예술의전당)","34177","35027","20250629"
"20250626","7호선","남성","12450","11888","20250629"
"20250626","경부선","남영","10524","10901","20250629"
"20250626","8호선","남위례","8892","8756","20250629"
"20250626","경춘선","남춘천","2996","2917","20250629"
"20250626","4호선","남태령","1670","1432","20250629"
"20250626","8호선","남한산성입구(성남법원.검찰청)","14457","12944","20250629"
"20250626","7호선","내방","16768","17119","20250629"
"20250626","9호선","노들","5651","4656","20250629"
"20250626","경부선","노량진","9036","9015","20250629"
"20250626","9호선","노량진","28375","28049","20250629"
"20250626","4호선","노원","22361","25159","20250629"
"20250626","7호선","노원","22227","23408","20250629"
"20250626","3호선","녹번","17282","15960","20250629"
"20250626","6호선","녹사평(용산구청)","5979","5992","20250629"
"20250626","경원선","녹양","4811","4551","20250629"
"20250626","경원선","녹천","4986","4150","20250629"
"20250626","7호선","논현","21795","22353","20250629"
"20250626","경의선","능곡","5158","4794","20250629"
"20250626","8호선","단대오거리","13286","12999","20250629"
"20250626","수인선","달월","91","67","20250629"
"20250626","5호선","답십리","18152","16093","20250629"
"20250626","신림선","당곡","5604","5340","20250629"
"20250626","9호선","당산","21699","20906","20250629"
"20250626","2호선","당산","21702","24568","20250629"
"20250626","경부선","당정","6586","6296","20250629"
"20250626","일산선","대곡","10806","9710","20250629"
"20250626","과천선","대공원","3098","3205","20250629"
"20250626","7호선","대림(구로구청)","9244","9256","20250629"
"20250626","2호선","대림(구로구청)","26714","27157","20250629"
"20250626","분당선","대모산입구","6582","6158","20250629"
"20250626","신림선","대방","3588","2843","20250629"
"20250626","경부선","대방","11869","13138","20250629"
"20250626","경춘선","대성리","1270","1575","20250629"
"20250626","안산선","대야미","5570","4957","20250629"
"20250626","3호선","대청","12522","11602","20250629"
"20250626","3호선","대치","13716","13555","20250629"
"20250626","일산선","대화","12362","10075","20250629"
"20250626","6호선","대흥(서강대앞)","10285","10754","20250629"
"20250626","경원선","덕계","6787","6360","20250629"
"20250626","중앙선","덕소","5927","5815","20250629"
"20250626","경원선","덕정","6720","6263","20250629"
"20250626","3호선","도곡","6999","6916","20250629"
"20250626","분당선","도곡","8571","8700","20250629"
"20250626","중앙선","도농","10860","9873","20250629"
"20250626","2호선","도림천","1542","1547","20250629"
"20250626","경원선","도봉","6736","6381","20250629"
"20250626","경원선","도봉산","8287","5265","20250629"
"20250626","7호선","도봉산","9809","11327","20250629"
"20250626","중앙선","도심","2799","2241","20250629"
"20250626","경인선","도원","3951","3959","20250629"
"20250626","경인선","도화","4781","4339","20250629"
"20250626","3호선","독립문","8588","8919","20250629"
"20250626","6호선","독바위","3102","3211","20250629"
"20250626","경부선","독산","19193","19566","20250629"
"20250626","6호선","돌곶이","12765","11873","20250629"
"20250626","1호선","동대문","12847","12232","20250629"
"20250626","4호선","동대문","22056","22494","20250629"
"20250626","4호선","동대문역사문화공원(DDP)","21810","19213","20250629"
"20250626","5호선","동대문역사문화공원(DDP)","3551","4132","20250629"
"20250626","2호선","동대문역사문화공원(DDP)","16867","19343","20250629"
"20250626","3호선","동대입구","10505","11233","20250629"
"20250626","경원선","동두천","2616","2470","20250629"
"20250626","경원선","동두천중앙","3410","3260","20250629"
"20250626","6호선","동묘앞","9234","9419","20250629"
"20250626","1호선","동묘앞","10067","10208","20250629"
"20250626","경인선","동암","16458","16692","20250629"
"20250626","경인선","동인천","14827","13906","20250629"
"20250626","4호선","동작(현충원)","2307","2335","20250629"
"20250626","9호선","동작(현충원)","2150","1800","20250629"
"20250626","경부선","두정","7197","7072","20250629"
"20250626","5호선","둔촌동","13870","13741","20250629"
"20250626","9호선2~3단계","둔촌오륜","5298","5038","20250629"
"20250626","9호선","등촌","14476","13793","20250629"
"20250626","경의선","디지털미디어시티","2816","2728","20250629"
"20250626","6호선","디지털미디어시티","16712","18141","20250629"
"20250626","공항철도 1호선","디지털미디어시티","16740","15782","20250629"
"20250626","2호선","뚝섬","28835","30846","20250629"
"20250626","5호선","마곡","15731","16279","20250629"
"20250626","9호선","마곡나루(서울식물원)","16804","16424","20250629"
"20250626","공항철도 1호선","마곡나루(서울식물원)","15374","14522","20250629"
"20250626","일산선","마두","9011","9083","20250629"
"20250626","7호선","마들","15174","14474","20250629"
"20250626","경춘선","마석","4364","4202","20250629"
"20250626","5호선","마장","6469","5996","20250629"
"20250626","5호선","마천","8208","7318","20250629"
"20250626","5호선","마포","17002","17267","20250629"
"20250626","6호선","마포구청","16341","14756","20250629"
"20250626","중앙선","망우","8505","8128","20250629"
"20250626","6호선","망원","17577","18641","20250629"
"20250626","경원선","망월사","8478","8547","20250629"
"20250626","분당선","망포","17148","16388","20250629"
"20250626","분당선","매교","6153","6115","20250629"
"20250626","3호선","매봉","14826","14360","20250629"
"20250626","분당선","매탄권선","6279","6171","20250629"
"20250626","7호선","먹골","11279","11349","20250629"
"20250626","7호선","면목","16061","15497","20250629"
"20250626","4호선","명동","37135","39869","20250629"
"20250626","5호선","명일","9330","9129","20250629"
"20250626","경부선","명학","9488","9479","20250629"
"20250626","8호선","모란","5379","4231","20250629"
"20250626","분당선","모란","20936","21170","20250629"
"20250626","5호선","목동","18666","20487","20250629"
"20250626","8호선","몽촌토성(평화의문)","8253","8268","20250629"
"20250626","3호선","무악재","4657","4520","20250629"
"20250626","2호선","문래","27067","27940","20250629"
"20250626","경의선","문산","5809","5803","20250629"
"20250626","8호선","문정","26605","28041","20250629"
